0 0 0 0 0 0 0 0 0 0 0
33 152 47 71 191 31 172 67 7 179 143
78 6 49 138 206 107 65 154 99 34 52
76 70 149 101 39 211 106 112 83 88 183
46 202 201 123 38 1 72 75 210 192 109
166 9 115 127 73 57 58 28 132 171 84
45 108 59 25 125 134 23 128 11 178 24
157 176 159 51 173 111 158 150 42 119 208
104 110 195 164 50 198 135 77 44 122 10
204 18 56 37 136 197 155 97 126 114 91
177 142 81 66 182 30 21 168 35 170 92
94 60 22 14 2 17 196 181 203 12 0
74 199 212 16 147 187 79 13 32 121 -1
29 3 43 113 62 53 54 64 116 169 -1
188 160 141 95 180 117 184 0 148 151 -1
130 162 194 86 144 27 61 -1 102 118 -1
139 189 19 146 41 82 8 -1 26 185 -1
15 133 98 87 5 120 85 -1 124 209 -1
90 167 131 63 129 0 100 -1 175 0 -1
145 0 36 163 40 -1 174 -1 175 -1 -1
69 -1 55 186 200 -1 205 -1 0 -1 -1
89 -1 193 93 4 -1 161 -1 -1 -1 -1
165 -1 96 80 20 -1 105 -1 -1 -1 -1
207 -1 0 137 190 -1 68 -1 -1 -1 -1
103 -1 -1 0 153 -1 156 -1 -1 -1 -1
0 -1 -1 -1 0 -1 48 -1 -1 -1 -1
213 -1 -1 -1 -1 -1 140 -1 -1 -1 -1
-1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
